bygningens byggeår	bruksareal	statistikkvariabel	år	region	06517: Boliger,
2021 og etter	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	7
2021 og etter	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	63
2021 og etter	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	66
2021 og etter	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	65
2021 og etter	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	38
2021 og etter	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	58
2021 og etter	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	94
2021 og etter	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	48
2021 og etter	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	28
2021 og etter	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	16
2021 og etter	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	10
