statistikkvariabel	region	bygningstype	ar	Boligbygg,
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2016	12
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2017	15
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2013	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2014	9
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2020	16
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2013	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2016	12
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2021	6
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	151 Bo- og servicesenter	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2013	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2013	1
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2013	12
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2014	3
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2018	1
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2021	7
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2023	0
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2013	96
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2014	95
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2015	87
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2016	103
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2017	67
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2018	69
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2019	98
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2020	68
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2021	78
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2022	61
Fullforte boliger	K-1149 Karmoy	111 Enebolig	2023	64
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2013	12
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2014	10
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2015	11
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2016	12
Fullforte boliger	K-1149 Karmoy	112 Enebolig med hybelleilighet, sokkelleilighet o.l.	2017	10
