region	alder	statistikkvariabel	ar	kjonn	04362: Befolkning,
11490308 Ådland	16-19 år	Personer	2024	Menn	27
11490308 Ådland	16-19 år	Personer	2024	Kvinner	26
11490308 Ådland	20-24 år	Personer	2024	Menn	21
11490308 Ådland	20-24 år	Personer	2024	Kvinner	24
11490308 Ådland	25-29 år	Personer	2024	Menn	23
11490308 Ådland	25-29 år	Personer	2024	Kvinner	19
11490308 Ådland	30-49 år	Personer	2024	Menn	95
11490308 Ådland	30-49 år	Personer	2024	Kvinner	99
11490308 Ådland	50-59 år	Personer	2024	Menn	43
11490308 Ådland	50-59 år	Personer	2024	Kvinner	48
11490308 Ådland	60-66 år	Personer	2024	Menn	22
11490308 Ådland	60-66 år	Personer	2024	Kvinner	30
11490308 Ådland	67-69 år	Personer	2024	Menn	8
11490308 Ådland	67-69 år	Personer	2024	Kvinner	3
11490308 Ådland	70-79 år	Personer	2024	Menn	22
11490308 Ådland	70-79 år	Personer	2024	Kvinner	22
11490308 Ådland	80 år eller eldre	Personer	2024	Menn	9
11490308 Ådland	80 år eller eldre	Personer	2024	Kvinner	21
11490309 Liknes	0-5 år	Personer	2024	Menn	13
11490309 Liknes	0-5 år	Personer	2024	Kvinner	10
11490309 Liknes	6-15 år	Personer	2024	Menn	21
11490309 Liknes	6-15 år	Personer	2024	Kvinner	19
11490309 Liknes	16-19 år	Personer	2024	Menn	9
11490309 Liknes	16-19 år	Personer	2024	Kvinner	9
11490309 Liknes	20-24 år	Personer	2024	Menn	7
11490309 Liknes	20-24 år	Personer	2024	Kvinner	6
11490309 Liknes	25-29 år	Personer	2024	Menn	8
11490309 Liknes	25-29 år	Personer	2024	Kvinner	9
11490309 Liknes	30-49 år	Personer	2024	Menn	37
11490309 Liknes	30-49 år	Personer	2024	Kvinner	41
11490309 Liknes	50-59 år	Personer	2024	Menn	27
11490309 Liknes	50-59 år	Personer	2024	Kvinner	21
11490309 Liknes	60-66 år	Personer	2024	Menn	14
11490309 Liknes	60-66 år	Personer	2024	Kvinner	11
11490309 Liknes	67-69 år	Personer	2024	Menn	4
11490309 Liknes	67-69 år	Personer	2024	Kvinner	6
11490309 Liknes	70-79 år	Personer	2024	Menn	22
11490309 Liknes	70-79 år	Personer	2024	Kvinner	17
11490309 Liknes	80 år eller eldre	Personer	2024	Menn	8
11490309 Liknes	80 år eller eldre	Personer	2024	Kvinner	9
11490401 Stava	0-5 år	Personer	2024	Menn	5
11490401 Stava	0-5 år	Personer	2024	Kvinner	3
11490401 Stava	6-15 år	Personer	2024	Menn	13
11490401 Stava	6-15 år	Personer	2024	Kvinner	13
11490401 Stava	16-19 år	Personer	2024	Menn	4
11490401 Stava	16-19 år	Personer	2024	Kvinner	4
11490401 Stava	20-24 år	Personer	2024	Menn	4
11490401 Stava	20-24 år	Personer	2024	Kvinner	0
11490401 Stava	25-29 år	Personer	2024	Menn	3
11490401 Stava	25-29 år	Personer	2024	Kvinner	5
11490401 Stava	30-49 år	Personer	2024	Menn	25
11490401 Stava	30-49 år	Personer	2024	Kvinner	21
11490401 Stava	50-59 år	Personer	2024	Menn	12
11490401 Stava	50-59 år	Personer	2024	Kvinner	10
11490401 Stava	60-66 år	Personer	2024	Menn	5
11490401 Stava	60-66 år	Personer	2024	Kvinner	3
11490401 Stava	67-69 år	Personer	2024	Menn	3
11490401 Stava	67-69 år	Personer	2024	Kvinner	0
11490401 Stava	70-79 år	Personer	2024	Menn	7
11490401 Stava	70-79 år	Personer	2024	Kvinner	7
11490401 Stava	80 år eller eldre	Personer	2024	Menn	5
11490401 Stava	80 år eller eldre	Personer	2024	Kvinner	7
11490402 Stol - Ferkingstad	0-5 år	Personer	2024	Menn	19
11490402 Stol - Ferkingstad	0-5 år	Personer	2024	Kvinner	9
11490402 Stol - Ferkingstad	6-15 år	Personer	2024	Menn	32
11490402 Stol - Ferkingstad	6-15 år	Personer	2024	Kvinner	32
11490402 Stol - Ferkingstad	16-19 år	Personer	2024	Menn	13
11490402 Stol - Ferkingstad	16-19 år	Personer	2024	Kvinner	14
11490402 Stol - Ferkingstad	20-24 år	Personer	2024	Menn	11
11490402 Stol - Ferkingstad	20-24 år	Personer	2024	Kvinner	13
11490402 Stol - Ferkingstad	25-29 år	Personer	2024	Menn	16
11490402 Stol - Ferkingstad	25-29 år	Personer	2024	Kvinner	15
11490402 Stol - Ferkingstad	30-49 år	Personer	2024	Menn	76
11490402 Stol - Ferkingstad	30-49 år	Personer	2024	Kvinner	58
11490402 Stol - Ferkingstad	50-59 år	Personer	2024	Menn	37
11490402 Stol - Ferkingstad	50-59 år	Personer	2024	Kvinner	38
11490402 Stol - Ferkingstad	60-66 år	Personer	2024	Menn	23
11490402 Stol - Ferkingstad	60-66 år	Personer	2024	Kvinner	22
11490402 Stol - Ferkingstad	67-69 år	Personer	2024	Menn	6
11490402 Stol - Ferkingstad	67-69 år	Personer	2024	Kvinner	6
11490402 Stol - Ferkingstad	70-79 år	Personer	2024	Menn	24
11490402 Stol - Ferkingstad	70-79 år	Personer	2024	Kvinner	28
11490402 Stol - Ferkingstad	80 år eller eldre	Personer	2024	Menn	7
11490402 Stol - Ferkingstad	80 år eller eldre	Personer	2024	Kvinner	6
11490403 Langåker - Kvilhaug	0-5 år	Personer	2024	Menn	8
11490403 Langåker - Kvilhaug	0-5 år	Personer	2024	Kvinner	10
11490403 Langåker - Kvilhaug	6-15 år	Personer	2024	Menn	18
11490403 Langåker - Kvilhaug	6-15 år	Personer	2024	Kvinner	24
11490403 Langåker - Kvilhaug	16-19 år	Personer	2024	Menn	16
11490403 Langåker - Kvilhaug	16-19 år	Personer	2024	Kvinner	9
11490403 Langåker - Kvilhaug	20-24 år	Personer	2024	Menn	11
11490403 Langåker - Kvilhaug	20-24 år	Personer	2024	Kvinner	18
11490403 Langåker - Kvilhaug	25-29 år	Personer	2024	Menn	5
11490403 Langåker - Kvilhaug	25-29 år	Personer	2024	Kvinner	8
