region	boligtype	kvartal	statistikkvariabel	05963: Selveierboliger,
1102 Sandnes (-2019)	Blokkleiligheter	2017K3	Gjennomsnittlig kvadratmeterpris (kr)	39537
1102 Sandnes (-2019)	Blokkleiligheter	2017K4	Gjennomsnittlig kvadratmeterpris (kr)	40223
1102 Sandnes (-2019)	Blokkleiligheter	2018K1	Gjennomsnittlig kvadratmeterpris (kr)	38252
1102 Sandnes (-2019)	Blokkleiligheter	2018K2	Gjennomsnittlig kvadratmeterpris (kr)	39979
1102 Sandnes (-2019)	Blokkleiligheter	2018K3	Gjennomsnittlig kvadratmeterpris (kr)	40208
1102 Sandnes (-2019)	Blokkleiligheter	2018K4	Gjennomsnittlig kvadratmeterpris (kr)	38338
1102 Sandnes (-2019)	Blokkleiligheter	2019K1	Gjennomsnittlig kvadratmeterpris (kr)	38770
1102 Sandnes (-2019)	Blokkleiligheter	2019K2	Gjennomsnittlig kvadratmeterpris (kr)	38644
1102 Sandnes (-2019)	Blokkleiligheter	2019K3	Gjennomsnittlig kvadratmeterpris (kr)	38407
1102 Sandnes (-2019)	Blokkleiligheter	2019K4	Gjennomsnittlig kvadratmeterpris (kr)	39172
1102 Sandnes (-2019)	Blokkleiligheter	2020K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2020K2	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2020K3	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2020K4	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2021K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2021K2	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2021K3	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2021K4	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2022K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2022K2	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2022K3	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2022K4	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2023K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2023K2	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2023K3	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2023K4	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2024K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1103 Stavanger	Eneboliger	2013K1	Gjennomsnittlig kvadratmeterpris (kr)	34418
1103 Stavanger	Eneboliger	2013K2	Gjennomsnittlig kvadratmeterpris (kr)	35099
1103 Stavanger	Eneboliger	2013K3	Gjennomsnittlig kvadratmeterpris (kr)	35298
1103 Stavanger	Eneboliger	2013K4	Gjennomsnittlig kvadratmeterpris (kr)	33545
1103 Stavanger	Eneboliger	2014K1	Gjennomsnittlig kvadratmeterpris (kr)	33323
1103 Stavanger	Eneboliger	2014K2	Gjennomsnittlig kvadratmeterpris (kr)	34263
1103 Stavanger	Eneboliger	2014K3	Gjennomsnittlig kvadratmeterpris (kr)	33958
1103 Stavanger	Eneboliger	2014K4	Gjennomsnittlig kvadratmeterpris (kr)	33689
1103 Stavanger	Eneboliger	2015K1	Gjennomsnittlig kvadratmeterpris (kr)	32901
1103 Stavanger	Eneboliger	2015K2	Gjennomsnittlig kvadratmeterpris (kr)	32488
1103 Stavanger	Eneboliger	2015K3	Gjennomsnittlig kvadratmeterpris (kr)	32977
1103 Stavanger	Eneboliger	2015K4	Gjennomsnittlig kvadratmeterpris (kr)	30806
1103 Stavanger	Eneboliger	2016K1	Gjennomsnittlig kvadratmeterpris (kr)	29724
1103 Stavanger	Eneboliger	2016K2	Gjennomsnittlig kvadratmeterpris (kr)	30446
1103 Stavanger	Eneboliger	2016K3	Gjennomsnittlig kvadratmeterpris (kr)	30843
1103 Stavanger	Eneboliger	2016K4	Gjennomsnittlig kvadratmeterpris (kr)	31674
1103 Stavanger	Eneboliger	2017K1	Gjennomsnittlig kvadratmeterpris (kr)	31847
1103 Stavanger	Eneboliger	2017K2	Gjennomsnittlig kvadratmeterpris (kr)	33267
1103 Stavanger	Eneboliger	2017K3	Gjennomsnittlig kvadratmeterpris (kr)	31026
1103 Stavanger	Eneboliger	2017K4	Gjennomsnittlig kvadratmeterpris (kr)	33526
1103 Stavanger	Eneboliger	2018K1	Gjennomsnittlig kvadratmeterpris (kr)	31435
1103 Stavanger	Eneboliger	2018K2	Gjennomsnittlig kvadratmeterpris (kr)	31807
1103 Stavanger	Eneboliger	2018K3	Gjennomsnittlig kvadratmeterpris (kr)	31479
1103 Stavanger	Eneboliger	2018K4	Gjennomsnittlig kvadratmeterpris (kr)	30413
1103 Stavanger	Eneboliger	2019K1	Gjennomsnittlig kvadratmeterpris (kr)	31590
1103 Stavanger	Eneboliger	2019K2	Gjennomsnittlig kvadratmeterpris (kr)	32528
1103 Stavanger	Eneboliger	2019K3	Gjennomsnittlig kvadratmeterpris (kr)	31821
1103 Stavanger	Eneboliger	2019K4	Gjennomsnittlig kvadratmeterpris (kr)	29166
1103 Stavanger	Eneboliger	2020K1	Gjennomsnittlig kvadratmeterpris (kr)	32174
1103 Stavanger	Eneboliger	2020K2	Gjennomsnittlig kvadratmeterpris (kr)	33280
1103 Stavanger	Eneboliger	2020K3	Gjennomsnittlig kvadratmeterpris (kr)	32664
1103 Stavanger	Eneboliger	2020K4	Gjennomsnittlig kvadratmeterpris (kr)	33928
1103 Stavanger	Eneboliger	2021K1	Gjennomsnittlig kvadratmeterpris (kr)	33780
1103 Stavanger	Eneboliger	2021K2	Gjennomsnittlig kvadratmeterpris (kr)	36484
1103 Stavanger	Eneboliger	2021K3	Gjennomsnittlig kvadratmeterpris (kr)	37008
1103 Stavanger	Eneboliger	2021K4	Gjennomsnittlig kvadratmeterpris (kr)	36441
1103 Stavanger	Eneboliger	2022K1	Gjennomsnittlig kvadratmeterpris (kr)	37166
1103 Stavanger	Eneboliger	2022K2	Gjennomsnittlig kvadratmeterpris (kr)	38491
1103 Stavanger	Eneboliger	2022K3	Gjennomsnittlig kvadratmeterpris (kr)	37556
1103 Stavanger	Eneboliger	2022K4	Gjennomsnittlig kvadratmeterpris (kr)	35664
1103 Stavanger	Eneboliger	2023K1	Gjennomsnittlig kvadratmeterpris (kr)	36480
1103 Stavanger	Eneboliger	2023K2	Gjennomsnittlig kvadratmeterpris (kr)	39069
1103 Stavanger	Eneboliger	2023K3	Gjennomsnittlig kvadratmeterpris (kr)	37321
1103 Stavanger	Eneboliger	2023K4	Gjennomsnittlig kvadratmeterpris (kr)	36189
1103 Stavanger	Eneboliger	2024K1	Gjennomsnittlig kvadratmeterpris (kr)	38427
1103 Stavanger	Småhus	2013K1	Gjennomsnittlig kvadratmeterpris (kr)	35425
1103 Stavanger	Småhus	2013K2	Gjennomsnittlig kvadratmeterpris (kr)	33676
1103 Stavanger	Småhus	2013K3	Gjennomsnittlig kvadratmeterpris (kr)	35041
1103 Stavanger	Småhus	2013K4	Gjennomsnittlig kvadratmeterpris (kr)	33947
1103 Stavanger	Småhus	2014K1	Gjennomsnittlig kvadratmeterpris (kr)	33777
1103 Stavanger	Småhus	2014K2	Gjennomsnittlig kvadratmeterpris (kr)	34613
1103 Stavanger	Småhus	2014K3	Gjennomsnittlig kvadratmeterpris (kr)	34082
1103 Stavanger	Småhus	2014K4	Gjennomsnittlig kvadratmeterpris (kr)	33217
1103 Stavanger	Småhus	2015K1	Gjennomsnittlig kvadratmeterpris (kr)	33792
1103 Stavanger	Småhus	2015K2	Gjennomsnittlig kvadratmeterpris (kr)	33673
1103 Stavanger	Småhus	2015K3	Gjennomsnittlig kvadratmeterpris (kr)	32110
1103 Stavanger	Småhus	2015K4	Gjennomsnittlig kvadratmeterpris (kr)	30704
1103 Stavanger	Småhus	2016K1	Gjennomsnittlig kvadratmeterpris (kr)	29561
1103 Stavanger	Småhus	2016K2	Gjennomsnittlig kvadratmeterpris (kr)	30452
1103 Stavanger	Småhus	2016K3	Gjennomsnittlig kvadratmeterpris (kr)	28690
1103 Stavanger	Småhus	2016K4	Gjennomsnittlig kvadratmeterpris (kr)	30957
1103 Stavanger	Småhus	2017K1	Gjennomsnittlig kvadratmeterpris (kr)	32092
1103 Stavanger	Småhus	2017K2	Gjennomsnittlig kvadratmeterpris (kr)	30757
1103 Stavanger	Småhus	2017K3	Gjennomsnittlig kvadratmeterpris (kr)	31795
1103 Stavanger	Småhus	2017K4	Gjennomsnittlig kvadratmeterpris (kr)	31555
1103 Stavanger	Småhus	2018K1	Gjennomsnittlig kvadratmeterpris (kr)	31777
1103 Stavanger	Småhus	2018K2	Gjennomsnittlig kvadratmeterpris (kr)	31650
1103 Stavanger	Småhus	2018K3	Gjennomsnittlig kvadratmeterpris (kr)	31521
1103 Stavanger	Småhus	2018K4	Gjennomsnittlig kvadratmeterpris (kr)	29261
1103 Stavanger	Småhus	2019K1	Gjennomsnittlig kvadratmeterpris (kr)	32090
1103 Stavanger	Småhus	2019K2	Gjennomsnittlig kvadratmeterpris (kr)	31942
1103 Stavanger	Småhus	2019K3	Gjennomsnittlig kvadratmeterpris (kr)	31255
1103 Stavanger	Småhus	2019K4	Gjennomsnittlig kvadratmeterpris (kr)	30370
1103 Stavanger	Småhus	2020K1	Gjennomsnittlig kvadratmeterpris (kr)	30916
1103 Stavanger	Småhus	2020K2	Gjennomsnittlig kvadratmeterpris (kr)	32004
1103 Stavanger	Småhus	2020K3	Gjennomsnittlig kvadratmeterpris (kr)	33627
1103 Stavanger	Småhus	2020K4	Gjennomsnittlig kvadratmeterpris (kr)	31711
1103 Stavanger	Småhus	2021K1	Gjennomsnittlig kvadratmeterpris (kr)	34038
1103 Stavanger	Småhus	2021K2	Gjennomsnittlig kvadratmeterpris (kr)	34367
1103 Stavanger	Småhus	2021K3	Gjennomsnittlig kvadratmeterpris (kr)	33069
