region	alder	statistikkvariabel	ar	kjonn	04362: Befolkning,
11490404 Hemnes - Sandhaland	50-59 ar	Personer	2024	Kvinner	19
11490404 Hemnes - Sandhaland	60-66 ar	Personer	2024	Menn	18
11490404 Hemnes - Sandhaland	60-66 ar	Personer	2024	Kvinner	10
11490404 Hemnes - Sandhaland	67-69 ar	Personer	2024	Menn	7
11490404 Hemnes - Sandhaland	67-69 ar	Personer	2024	Kvinner	5
11490404 Hemnes - Sandhaland	70-79 ar	Personer	2024	Menn	10
11490404 Hemnes - Sandhaland	70-79 ar	Personer	2024	Kvinner	13
11490404 Hemnes - Sandhaland	80 ar eller eldre	Personer	2024	Menn	3
11490404 Hemnes - Sandhaland	80 ar eller eldre	Personer	2024	Kvinner	9
11490501 Vikra	20-24 ar	Personer	2024	Menn	0
11490501 Vikra	20-24 ar	Personer	2024	Kvinner	5
11490501 Vikra	25-29 ar	Personer	2024	Menn	9
11490501 Vikra	25-29 ar	Personer	2024	Kvinner	9
11490501 Vikra	30-49 ar	Personer	2024	Menn	33
11490501 Vikra	30-49 ar	Personer	2024	Kvinner	27
11490501 Vikra	50-59 ar	Personer	2024	Menn	13
11490501 Vikra	50-59 ar	Personer	2024	Kvinner	15
11490501 Vikra	60-66 ar	Personer	2024	Menn	10
11490501 Vikra	60-66 ar	Personer	2024	Kvinner	6
11490501 Vikra	67-69 ar	Personer	2024	Menn	4
11490501 Vikra	67-69 ar	Personer	2024	Kvinner	5
11490501 Vikra	70-79 ar	Personer	2024	Menn	13
11490501 Vikra	70-79 ar	Personer	2024	Kvinner	12
11490501 Vikra	80 ar eller eldre	Personer	2024	Menn	3
11490501 Vikra	80 ar eller eldre	Personer	2024	Kvinner	3
11490502 Sandve	20-24 ar	Personer	2024	Menn	9
11490502 Sandve	20-24 ar	Personer	2024	Kvinner	3
11490502 Sandve	25-29 ar	Personer	2024	Menn	3
11490502 Sandve	25-29 ar	Personer	2024	Kvinner	4
11490502 Sandve	30-49 ar	Personer	2024	Menn	25
11490502 Sandve	30-49 ar	Personer	2024	Kvinner	26
11490502 Sandve	50-59 ar	Personer	2024	Menn	17
11490502 Sandve	50-59 ar	Personer	2024	Kvinner	13
11490502 Sandve	60-66 ar	Personer	2024	Menn	5
11490502 Sandve	60-66 ar	Personer	2024	Kvinner	5
11490502 Sandve	67-69 ar	Personer	2024	Menn	5
11490502 Sandve	67-69 ar	Personer	2024	Kvinner	4
11490502 Sandve	70-79 ar	Personer	2024	Menn	26
11490502 Sandve	70-79 ar	Personer	2024	Kvinner	17
11490502 Sandve	80 ar eller eldre	Personer	2024	Menn	3
11490502 Sandve	80 ar eller eldre	Personer	2024	Kvinner	7
11490503 Syre	20-24 ar	Personer	2024	Menn	6
11490503 Syre	20-24 ar	Personer	2024	Kvinner	9
11490503 Syre	25-29 ar	Personer	2024	Menn	4
11490503 Syre	25-29 ar	Personer	2024	Kvinner	7
11490503 Syre	30-49 ar	Personer	2024	Menn	53
11490503 Syre	30-49 ar	Personer	2024	Kvinner	46
11490503 Syre	50-59 ar	Personer	2024	Menn	25
11490503 Syre	50-59 ar	Personer	2024	Kvinner	16
11490503 Syre	60-66 ar	Personer	2024	Menn	11
11490503 Syre	60-66 ar	Personer	2024	Kvinner	13
11490503 Syre	67-69 ar	Personer	2024	Menn	7
11490503 Syre	67-69 ar	Personer	2024	Kvinner	9
11490503 Syre	70-79 ar	Personer	2024	Menn	34
11490503 Syre	70-79 ar	Personer	2024	Kvinner	26
11490503 Syre	80 ar eller eldre	Personer	2024	Menn	7
11490503 Syre	80 ar eller eldre	Personer	2024	Kvinner	8
11490504 Breidablikk	20-24 ar	Personer	2024	Menn	7
11490504 Breidablikk	20-24 ar	Personer	2024	Kvinner	4
11490504 Breidablikk	25-29 ar	Personer	2024	Menn	9
11490504 Breidablikk	25-29 ar	Personer	2024	Kvinner	11
11490504 Breidablikk	30-49 ar	Personer	2024	Menn	47
11490504 Breidablikk	30-49 ar	Personer	2024	Kvinner	43
11490504 Breidablikk	50-59 ar	Personer	2024	Menn	24
11490504 Breidablikk	50-59 ar	Personer	2024	Kvinner	19
11490504 Breidablikk	60-66 ar	Personer	2024	Menn	8
11490504 Breidablikk	60-66 ar	Personer	2024	Kvinner	6
11490504 Breidablikk	67-69 ar	Personer	2024	Menn	5
11490504 Breidablikk	67-69 ar	Personer	2024	Kvinner	6
11490504 Breidablikk	70-79 ar	Personer	2024	Menn	14
11490504 Breidablikk	70-79 ar	Personer	2024	Kvinner	13
11490504 Breidablikk	80 ar eller eldre	Personer	2024	Menn	10
11490504 Breidablikk	80 ar eller eldre	Personer	2024	Kvinner	25
11490505 Halandshogda	20-24 ar	Personer	2024	Menn	14
11490505 Halandshogda	20-24 ar	Personer	2024	Kvinner	21
11490505 Halandshogda	25-29 ar	Personer	2024	Menn	18
11490505 Halandshogda	25-29 ar	Personer	2024	Kvinner	16
11490505 Halandshogda	30-49 ar	Personer	2024	Menn	80
11490505 Halandshogda	30-49 ar	Personer	2024	Kvinner	75
11490505 Halandshogda	50-59 ar	Personer	2024	Menn	47
11490505 Halandshogda	50-59 ar	Personer	2024	Kvinner	50
11490505 Halandshogda	60-66 ar	Personer	2024	Menn	21
11490505 Halandshogda	60-66 ar	Personer	2024	Kvinner	24
11490505 Halandshogda	67-69 ar	Personer	2024	Menn	5
11490505 Halandshogda	67-69 ar	Personer	2024	Kvinner	3
11490505 Halandshogda	70-79 ar	Personer	2024	Menn	19
11490505 Halandshogda	70-79 ar	Personer	2024	Kvinner	27
11490505 Halandshogda	80 ar eller eldre	Personer	2024	Menn	9
11490505 Halandshogda	80 ar eller eldre	Personer	2024	Kvinner	14
11490506 Vagen - Varden	20-24 ar	Personer	2024	Menn	5
11490506 Vagen - Varden	20-24 ar	Personer	2024	Kvinner	8
11490506 Vagen - Varden	25-29 ar	Personer	2024	Menn	4
11490506 Vagen - Varden	25-29 ar	Personer	2024	Kvinner	3
11490506 Vagen - Varden	30-49 ar	Personer	2024	Menn	32
